,Demonstrator_DER_pupil,Observer_VER_pupil
0,0.21452412313803557,0.28925329879505013
1,0.18105125557603585,0.1912249449617701
2,0.08839929021385894,0.608141439323148
3,0.1114061638952697,0.32252356267679977
4,0.04503055395112826,0.010393822597987252
5,0.008416791338483217,0.06615468984628582
6,0.05281733404508483,0.5878574180418253
7,0.36877710291876054,0.023830850949037845
8,0.10626400354504516,0.13214165963988903
9,0.10196469528129783,0.15676308158076796
10,0.10131138222428183,0.5768073931873275
11,0.1612514028254203,0.9607711393633308
12,0.3299511231488311,0.5934234272330806
13,0.3589745905530368,0.514447790684794
14,0.049611101880868605,0.11325046285485532
15,0.3722807201574423,0.37421682869831785
16,0.14087245462354653,0.5802143728987218
17,0.1038252210495366,0.13841669734865486
18,0.10622172730486251,0.30746748012554026
19,0.06757407540332397,0.4683621932753535
20,0.3021326688466952,0.9666802906174073
21,0.33369522308022936,0.8330692098735472
22,0.060370160937732995,0.340038051197004
23,0.44546130008699114,0.5943813753736911
24,0.2736728344543501,0.4500337030400455
25,0.09733799987755586,0.543356518145445
26,0.11742643932892813,0.543356518145445
27,0.1432814002508001,0.4500337030400455
28,0.31327821573247616,0.7644880406522245
29,0.632232818262055,0.9040620513990381
30,0.11698661657580632,0.08022307404748166
31,0.5977379753989818,0.4634754894846331
