,structure,group,0
0,Isocortex,observer,39.53488372093023
1,Isocortex,demonstrator,30.23255813953488
2,Olfactory areas,observer,90.9090909090909
3,Olfactory areas,demonstrator,81.81818181818183
4,Hippocampal formation,observer,40.0
5,Hippocampal formation,demonstrator,6.666666666666667
6,Pallidum,observer,22.22222222222222
7,Pallidum,demonstrator,11.11111111111111
8,Cortical subplate,observer,71.42857142857143
9,Cortical subplate,demonstrator,71.42857142857143
10,Striatum,observer,35.714285714285715
11,Striatum,demonstrator,28.57142857142857
12,Midbrain,observer,20.51282051282051
13,Midbrain,demonstrator,2.564102564102564
14,Thalamus,observer,34.090909090909086
15,Thalamus,demonstrator,15.909090909090908
16,Hypothalamus,observer,45.45454545454545
17,Hypothalamus,demonstrator,6.8181818181818175
